GeogName,GeoID,BlNHP
park-cemetery-etc-Queens,QN99,13.9
Annadale-Huguenot-Prince's Bay-Eltingville,SI01,0.5
New Springville-Bloomfield-Travis,SI05,5.1
Westerleigh,SI07,3.6
Grymes Hill-Clifton-Fox Hills,SI08,30.5
Charleston-Richmond Valley-Tottenville,SI11,0.9
Mariner's Harbor-Arlington-Port Ivory-Graniteville,SI12,30.2
Grasmere-Arrochar-Ft. Wadsworth,SI14,6
West New Brighton-New Brighton-St. George,SI22,35.7
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,SI24,2.2
Oakwood-Oakwood Beach,SI25,2.6
Port Richmond,SI28,15.2
Rossville-Woodrow,SI32,0.1
New Brighton-Silver Lake,SI35,9.7
Old Town-Dongan Hills-South Beach,SI36,4.4
Stapleton-Rosebank,SI37,19.4
New Dorp-Midland Beach,SI45,1
Arden Heights,SI48,1.5
Great Kills,SI54,0.2
park-cemetery-etc-Staten Island,SI99,
